Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.18,487709497.21,596648044.69,695530726.26,764804469.27,872067039.11,958659217.88,1083240223.46,1245810055.87,1320670391.06,1379888268.16,1531843575.42,1665363128.49,1722905027.93,1873452513.97,1896456983.24,1961843575.42,2044111731.84,2254830726.26,2360017318.44,2469782681.56,2677641340.78,2843024581.01,2553793296.09,2453597206.70,2637859217.88,2615208379.89,2727849720.67,2790849720.67,2962907262.57,2983635195.53,3092429050.28,3276184357.54,3395798882.68,2558906303.88,3103184101.51,3544707788.06,
Africa Eastern and Southern,AFE,GDP (current US$),21216962289.56,22307471355.68,23702472100.00,25779376632.72,28049537324.86,30374910059.51,33049155473.50,35933757401.76,38749864977.02,42964345101.17,43702318276.34,47632993912.84,51627511756.54,66610917871.45,81658052383.26,86883552689.32,88290755580.52,98868135189.61,110802408134.93,129780974539.91,168165164238.41,177750099368.15,169302766914.40,179897833535.13,166208098815.08,143249519478.31,154792610860.85,185812458342.96,202092611345.54,214473497464.09,251211844157.14,273542601824.33,239433170776.13,240271389187.38,243564813413.47,273433056168.81,272519342675.99,288405283765.90,268833638136.37,265429291622.00,287201651448.68,260992227336.28,267815037918.24,355716369427.67,442696185471.33,516661066465.53,580240749509.22,665598701583.95,713502105052.17,715485327250.41,849409658737.66,945439147816.61,952675592818.56,963347276805.08,979689662429.07,899295676086.84,829829959319.29,940105480733.68,1012719339457.72,1006527294483.09,929074086484.09,1086772164579.87,1183962133998.87,1236163044999.97
Afghanistan,AFG,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418059.92,2813571753.87,3825701439.00,4520946818.55,5224896718.68,6203256538.71,6971758282.29,9747886187.39,10109297047.54,12416152732.06,15856668555.83,17805098206.31,19907329777.59,20146416757.60,20497128555.70,19134221644.73,18116572395.08,18753456497.82,18053222687.41,18799444490.11,19955929052.15,14266499429.87,14502158192.09,
Africa Western and Central,AFW,GDP (current US$),11884128412.36,12685662254.55,13606829296.95,14439975113.76,15769107619.64,16934480009.68,18048039301.77,16495768073.44,17022696447.03,19301308226.68,26697107727.57,24507115744.84,29493915342.50,36902672687.49,49688193508.80,57280847233.58,68386320009.24,71790695539.89,78779099935.41,96682239143.43,120501079996.36,216911025160.50,195917937082.07,151222762742.85,131218159345.53,137802915765.21,109237001606.12,112294774121.18,111227154884.75,103934371464.61,123711320144.87,129942000513.29,124599388202.39,129732548073.79,134776896049.75,207176985178.44,262600907503.92,275742235273.20,296152435737.05,139468348132.66,142140083285.95,149451860838.11,178692437188.28,206982053949.07,256100640349.77,312409315139.61,397088785487.81,465683513908.34,567937963599.45,508552578501.96,598697706331.00,682233324561.04,737799647336.20,834160608936.00,894585438237.96,769367317617.82,692181085843.49,685750159763.13,768189587833.62,823933630796.52,787146719022.42,845993047006.81,877140805320.36,796586157553.09
Angola,AGO,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880000000.00,4432026143.79,5538657322.02,6535458385.48,7675423799.36,6506387246.89,6152923310.45,9129594970.15,8936079117.73,15285592370.37,17812704586.44,23552057679.50,36970900883.81,52381025141.43,65266415494.26,88538665084.86,70307196181.65,83799474069.73,111789747670.59,128052915766.34,132339109040.23,135966802586.71,90496420506.60,52761617225.93,73690154990.73,79450688259.37,70897962732.03,48501561203.57,66505129987.72,104399746853.40,84722957642.38
Albania,ALB,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,1857337995.34,1897050116.55,2097326250.00,2080796250.00,2051236250.00,2253090000.00,2028553750.00,1099559027.78,652174990.84,1185315468.46,1880950864.41,2392764853.42,3199640815.42,2258513974.10,2545964540.88,3212121650.98,3480355258.04,3922100793.54,4348068242.20,5611496257.14,7184685781.52,8052077248.15,8896075004.64,10677324852.88,12881352893.69,12044205549.66,11926926615.80,12890760315.15,12319834195.33,12776224496.97,13228147516.12,11386853113.02,11861199830.84,13019726211.74,15156424015.20,15401826127.25,15162734205.25,17930565118.82,18916378860.55,22977677860.80
Andorra,AND,GDP (current US$),,,,,,,,,,,78617711.10,89406608.15,113414397.37,150841639.30,186557082.00,220112572.21,227283850.83,253997897.23,308020261.16,411548748.35,446377776.80,388983266.20,375914743.58,327850042.52,330073080.64,346742714.68,481996012.87,611299924.54,721425939.15,795489582.04,1028989692.07,1106891361.54,1209992020.30,1007090269.87,1017544068.84,1178745282.87,1224024139.21,1180645571.86,1211953994.06,1240295103.08,1432606188.69,1548265808.06,1764279824.30,2366941808.94,2900245324.49,3161084091.12,3459337986.45,3957625367.22,4102319399.02,3688976340.75,3449925738.86,3629133574.28,3188652765.36,3193512950.02,3271685596.66,2789881258.50,2896610479.73,3000162081.12,3218419896.96,3155149347.81,2891001149.36,3324683011.59,3380602042.84,3727673593.02
Arab World,ARB,GDP (current US$),,,,,,26772088212.10,28352060773.23,30601967880.99,34974202379.52,38564894020.05,43095586226.76,49931740624.55,59972469492.22,79132917458.63,152202083224.96,168173601402.79,210012101145.60,242292495289.49,265427508130.79,358140569341.46,486440975212.36,494949357407.86,463116781558.68,437502791694.11,440213958688.44,432899572101.06,405502496535.10,431288831867.97,429413862085.54,457402110666.69,640090916280.62,466374353043.27,466062663007.97,477189600616.46,498083764817.62,526560849591.85,568785405470.36,612394626427.84,596742288704.40,663176057519.82,760659530858.83,741974816657.26,743726477660.19,826976496725.03,983700787595.35,1205595865007.25,1434109187806.89,1668426022116.89,2109171849559.77,1822783841737.67,2154252309110.19,2559855182439.78,2793775680472.15,2857872049304.91,2905075942181.63,2544136348540.18,2499965913229.88,2571053716382.94,2865543585777.95,2898668715645.56,2576553324185.61,2969116805615.58,3613682354462.24,3491516939569.88
United Arab Emirates,ARE,GDP (current US$),,,,,,,,,,,685986701.35,939893599.61,1415086929.21,4231243615.87,11651505689.53,14720728248.54,19213158778.79,24871775164.60,23775764224.68,31225659621.00,43599160050.33,49333424135.11,46622718605.28,42803323345.14,41807954235.90,40603650231.54,33943612094.80,36384908744.21,36275674203.21,41464995913.92,50701443748.30,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617467964.60,222116541865.21,257916133424.10,315474615738.60,253547358747.45,300189052688.90,360832739550.72,384610125391.42,400218529748.13,414105366752.89,370275469571.14,369255326235.53,390516804029.95,427049432157.93,417989721742.68,349473015330.16,415178792756.98,507063968277.74,504173451327.43
Argentina,ARG,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,109490000000.00,112988571428.57,88416666666.67,106213829787.23,109029439252.34,126928000000.00,76629657863.66,141352654305.16,189719984268.49,228778917308.17,236741715015.02,257440000000.00,258031750000.00,272149750000.00,292859000000.00,298948250000.00,283523000000.00,284203750000.00,268696750000.00,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530158122010.44,545982375701.13,552025140252.25,526319673731.64,594749285413.21,557532320662.96,643628393281.36,524819892360.18,447754683615.23,385740508436.97,487902572164.35,631133384439.94,640591410663.88
Armenia,ARM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863448.77,2069870129.87,1272835453.43,1201312829.28,1315158636.68,1468317435.20,1596968946.24,1639492444.76,1893726437.26,1845482173.03,1911563668.85,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469511.10,6384452066.51,9206301269.79,11662040713.88,8647937081.26,9260285755.62,10142111824.58,10619320682.95,11121464437.04,11609513246.80,10553337518.41,10546136235.52,11527458709.02,12457940694.74,13619290539.21,12641698583.22,13878908628.94,19513474648.24,24212134631.06
American Samoa,ASM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.00,524000000.00,509000000.00,500000000.00,493000000.00,518000000.00,560000000.00,675000000.00,573000000.00,570000000.00,640000000.00,638000000.00,643000000.00,673000000.00,671000000.00,612000000.00,639000000.00,647000000.00,721000000.00,750000000.00,871000000.00,
